"NCM"|"EX"|"DESCRIÇÃO"|"AL_IPI"|"CST_IPI_ENTRADA"|"CST_IPI_SAÍDA"|"CST_PIS_COFINS_ENTRADA"|"CST_PIS_COFINS_SAÍDA"|"CÓDIGO_JUSTIFICATIVA_ENQUADRAMENTO_PIS_COFINS"
"02071300"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De galos ou de galinhas - Pedaços e miudezas, frescos ou refrigerados"|0|"01"|"51"|"72"|"09"|"209"
"02071400"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De galos ou de galinhas - Pedaços e miudezas, congelados"|0|"01"|"51"|"72"|"09"|"209"
"02072400"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De peruas ou de perus - Não cortadas em pedaços, frescas ou refrigeradas"|0|"01"|"51"|"72"|"09"|"209"
"02072500"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De peruas ou de perus - Não cortadas em pedaços, congeladas"|0|"01"|"51"|"72"|"09"|"209"
"02072600"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De peruas ou de perus - Pedaços e miudezas, frescos ou refrigerados"|0|"01"|"51"|"72"|"09"|"209"
"02072700"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De peruas ou de perus - Pedaços e miudezas, congelados"|0|"01"|"51"|"72"|"09"|"209"
"02073200"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De patos, de gansos ou de galinhas-d’angola - Não cortadas em pedaços, frescas ou refrigeradas"|0|"01"|"51"|"72"|"09"|"209"
"02073300"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De patos, de gansos ou de galinhas-d’angola - Não cortadas em pedaços, congeladas"|0|"01"|"51"|"72"|"09"|"209"
"02073400"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De patos, de gansos ou de galinhas-d’angola - Fígados gordos (“foies gras”), frescos ou refrigerados"|0|"01"|"51"|"72"|"09"|"209"
"02073500"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De patos, de gansos ou de galinhas-d’angola - Outras, frescas ou refrigeradas"|0|"01"|"51"|"72"|"09"|"209"
"02073600"|""|"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De patos, de gansos ou de galinhas-d’angola - Outras, congeladas"|0|"01"|"51"|"72"|"09"|"209"
"02081000"|""|"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas - De coelhos ou de lebres"|0|"01"|"51"|""|""|""
"02083000"|""|"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas - De primatas"|0|"01"|"51"|""|""|""
"02084000"|""|"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas - De baleias, golfinhos e marsuínos (mamíferos da ordem dos cetáceos); de peixes-boi e dugongos (mamíferos da ordem dos sirênios)"|0|"01"|"51"|""|""|""
"02085000"|""|"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas - De répteis (incluídas as serpentes e as tartarugas marinhas)"|0|"01"|"51"|""|""|""
"02089000"|""|"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas - Outras"|0|"01"|"51"|""|""|""
"02090011"|""|"Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem de outro modo extraídas, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados - Toucinho - Fresco, refrigerado ou congelado"|0|"01"|"51"|""|""|""
"02090019"|""|"Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem de outro modo extraídas, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados - Toucinho - Outros"|0|"01"|"51"|""|""|""
