"NBS"|"DESCRIÇÃO"|"AL_IBPT_NACIONAL"|"AL_IBPT_INTERNACIONAL"
"105022810"|"Serviços de transporte aquaviário por navegação interior de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos"|16.06|16.66
"105022820"|"Serviços de transporte aquaviário por navegação interior de produtos químicos perigosos"|16.06|16.66
"105022890"|"Serviços de transporte aquaviário por navegação interior de outros produtos perigosos"|16.06|16.66
"105022900"|"Outros tipos de carga dos serviços de transporte aquaviário por navegação interior"|16.06|16.66
"105023100"|"Serviços de navegação de apoio portuário"|17.60|18.20
"105023200"|"Serviços de navegação de apoio marítimo"|17.60|18.20
"105031000"|"Serviços de transporte aéreo de cargas postais, remessas expressas e cargas congêneres"|0|0
"105032010"|"Serviços de transporte aéreo de cargas frigorificadas ou climatizadas"|16.06|16.66
"105032090"|"Serviços de transporte aéreo de outros tipos de contêineres"|16.06|16.66
"105033010"|"Serviços de transporte aéreo de produtos perigosos"|16.06|16.66
"105033020"|"Serviços de transporte aéreo de animais vivos"|16.06|16.66
"105033030"|"Serviços de transporte aéreo de máquinas e veículos"|16.06|16.66
"105033040"|"Serviços de transporte aéreo de perecíveis"|16.06|16.66
"105033050"|"Serviços de transporte aéreo de cargas frágeis"|16.06|16.66
"105033060"|"Serviços de transporte aéreo de cargas controladas"|16.06|16.66
"105033070"|"Serviços de transporte aéreo de valores"|16.06|16.66
"105033090"|"Serviços de transporte aéreo de outras cargas especiais"|16.06|16.66
"105039000"|"Serviços de transportes aéreos de outros tipos de cargas"|16.06|16.66
"105041010"|"Serviços de transporte multimodal de cargas sólidas, a granel"|16.06|16.66
"105041020"|"Serviços de transporte multimodal de cargas líquidas ou liquefeitas, a granel"|16.06|16.66
"105041030"|"Serviços de transporte multimodal de cargas gasosas a granel"|16.06|16.66
"105042000"|"Serviços de transporte multimodal de cargas vivas"|16.06|16.66
"105043010"|"Serviços de transporte multimodal de cargas soltas, não unitizadas"|16.06|16.66
"105043020"|"Serviços de transporte multimodal de cargas unitizadas, exceto de contêineres"|16.06|16.66
"105044010"|"Serviços de transporte multimodal de cargas frigorificadas ou climatizadas"|16.06|16.66
"105044090"|"Serviços de transporte multimodal de outros tipos de contêineres"|16.06|16.66
"105045000"|"Serviços de transporte multimodal de mudanças domésticas, de mobília de escritório e de outros objetos"|16.06|16.66
"105046000"|"Serviços de transporte multimodal de cargas especiais e de grande porte"|16.06|16.66
"105047000"|"Serviços de transporte multimodal de veículos"|16.06|16.66
"105048010"|"Serviços de transporte multimodal de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos"|16.06|16.66
"105048020"|"Serviços de transporte multimodal de produtos químicos perigosos"|16.06|16.66
"105048090"|"Serviços de transporte multimodal de outros produtos perigosos"|16.06|16.66
"105049000"|"Serviços de transporte multimodal de outros tipos de carga"|16.06|16.66
"105051010"|"Serviços de transporte intermodal de cargas sólidas, a granel"|16.06|16.66
"105051020"|"Serviços de transporte intermodal de cargas líquidas ou liquefeitas, a granel"|16.06|16.66
"105051030"|"Serviços de transporte intermodal de cargas gasosas a granel"|16.06|16.66
"105052000"|"Serviços de transporte intermodal de cargas vivas"|16.06|16.66
